"","Key Skills","Count"
416,"Elasticsearch",1
435,"Дизайн интерфейсов",1
434,"B2B Marketing",1
417,"Kafka",1
433,"Retail",1
419,"reactjs",1
420,"frontend development",1
421,"webpack",1
422,"npm",1
423,"yarn",1
424,"Teamplayer",1
425,"System Integration",1
432,"Sales Management",1
431,"UI",1
428,"XML",1
405,"Способность быстрого погружения в различные предметные области",1
404,"A/B тесты",1
440,"СУБД",1
389,"UML",1
378,"Семантика",1
452,"Windows Server",1
380,"Networking",1
381,"WIndows Phone",1
382,"Windows 8",1
383,"Windows 10",1
384,"Computer troubleshooting",1
385,"Phone Calls",1
449,"Аналитический склад ума",1
387,"Angular",1
448,"Холодные звонки",1
447,"Стратегическое планирование",1
390,"Web Application Development",1
403,"Start-up project",1
445,"Работа с базами данных",1
444,"Исследования рынка",1
393,"Gatsby.js",1
394,"Video.js",1
395,"Rocket.Chat",1
396,"Netlify",1
397,"CMS",1
398,"ремонт компьютеров",1
443,"Маркетинг",1
399,"ремонт планшетов",1
400,"Продажи через дистрибьюторов",1
441,"Технический аудит сайта",1
334,"Редакторская деятельность",1
99,"Перевод договоров",1
332,"Стратегический маркетинг",1
331,"B2C маркетинг",1
194,"1С: Предприятие",1
193,"1С программирование",1
54,"Обработка видео",1
55,"сторис-мейкер",1
56,"Создание контента",1
58,"программы для создания сторис-контента",1
184,"Финансовый менеджмент",1
59,"Творческое мышление",1
67,"Испанский язык",1
173,"Яндекс.Директ",1
71,"Ориентация на клиента",1
73,"Международные контакты",1
74,"Oral Translation",1
77,"Работа с Semparser",1
159,"Compliance",1
197,"Ведение переписки на иностранном языке",1
198,"Подготовка презентаций на иностранном языке",1
46,"Графический дизайн",1
217,"1С: Управление Торговлей",1
228,"Technical Editing",1
227,"Editing",1
225,"Marketing Communication",1
223,"Водительское удостоверение категории B",1
221,"Консультативные продажи",1
219,"1С: Управление предприятием",1
214,"ремонт электроники",1
45,"SOSİAL MEDİA MÜTƏXƏSSİSİ",1
40,"CorelDRAW Photo Draw",1
41,"smm menecer",1
205,"Проектирование пользовательских интерфейсов",1
204,"Привлечение клиентов",1
43,"Social media",1
44,"SALES MARKETİNG SPECİALİST",1
158,"Аудит",1
157,"MS Office",1
152,"1С: Документооборот",1
92,"kotlin",1
118,"Видеосъемка",1
117,"входящие звонки",1
116,"Ведение переписки",1
115,"Работа с жалобами клиентов",1
113,"Прием и распределение телефонных звонков",1
90,"Eclipse",1
96,"Trados (Система Перевода)",1
126,"Партнерские программы в социальных сетях",1
107,"bitrix24",1
98,"Технический перевод",1
105,"знакомство с CRM системами",1
104,"уверенный пользователь ПК",1
103,"Материальная ответственность",1
102,"Работа с клиентами",1
125,"C++",1
127,"Продвижение мероприятий компании в социальных сетях",1
86,"Android",1
136,"Рерайтинг",1
149,"Опыт установки ПО",1
148,"Call-центр",1
147,"компьютерные сети",1
146,"опыт установки ПО",1
145,"настройка IPTV",1
138,"1С: CRM ПРОФ",1
135,"Ответственность",1
128,"аккуратность",1
134,"техническая грамотность",1
133,"умение самообучаться",1
132,"социальность",1
131,"честность",1
87,"Android SDK",1
129,"внимательность к мелочам",1
229,"Copyrighting",1
230,"Corporate Culture Development",1
231,"Change Management",1
293,"Less",1
300,"1С: Предприятие 8",1
299,"Fullstack",1
298,"Backenddeveloper",1
297,"Frontenddeveloper",1
296,"Javascriptdeveloper",1
295,"ReactJS",1
290,"Проектная документация",1
303,"Управление лояльностью потребителей",1
100,"Сборка ПК",1
286,"Амбициозность",1
285,"Работоспособность",1
284,"Стрессоустойчивость",1
283,"навыки убеждения",1
282,"call-centre",1
301,"Анализ рынка",1
304,"Умение быстра работать.",1
280,"продажи по телефону",1
322,"Анализ посещаемости сайтов",1
329,"Производство рекламных материалов",1
328,"Планирование маркетинговых кампаний",1
327,"Маркетинговые исследования",1
326,"Маркетинговое планирование",1
325,"Анализ бизнес показателей",1
323,"Управление временем",1
321,"design vision",1
305,"Concept",1
320,"Communication skills",1
319,"fluent English",1
318,"Microsoft Visual Studio",1
316,"Sass",1
9,"Внешний аудит контекстной рекламы",1
306,"2D Concept",1
281,"работа с клиентами по телефону",1
279,"оператор call-центра",1
232,"Internal Communications",1
242,"Пунктуальность",1
248,"Настройка ПК",1
247,"Mathcad",1
246,"Yandex Direct",1
245,"E-Commerce",1
244,"Хорошая память",1
243,"Самообучаемость",1
241,"Внимательность",1
252,"ремонт телефона",1
240,"Розничная торговля",1
238,"B2B Digital Marketing",1
237,"Финтех",1
236,"Fintech",1
235,"FX",1
234,"SERM",1
250,"MATLAB",1
253,"ремонт планшета",1
278,"оператор колл-центра",1
268,"Вечерняя подработка",1
277,"колл-центр",1
276,"call-центр",1
275,"Консультирование клиентов по телефону",1
274,"2д художник",1
272,"2D Art",1
269,"Живопись",1
267,"Перевод",1
254,"ремонт телевизора",1
266,"технический переводчик,",1
265,"Cоциальная реклама",1
264,"Фотография",1
263,"Интерьерная фотография",1
262,"Реклама",1
260,"Графические редакторы",1
239,"SemRush",1
